the_geom,cartodb_id,orderid,alias,details,name
,441,441,% Other Race Population 16-64 Years,,oth64_p
,442,442,"% Other Race Population 16-64 Years; Margin of Error",,oth64mep
,443,443,% Other Race 16-64 Years in Labor Force,,oth64lf_p
,444,444,"% Other Race 16-64 Years in Labor Force; Margin of Error",,oth64lfmep
,445,445,% Other Race 16-64 Years Civilian Labor Force,,oth64clf_p
,446,446,"% Other Race 16-64 Years Civilian Labor Force; Margin of Error",,oth64clfmp
,447,447,% Other Race Employed Population 16-64 Years,,oth1664_p
,448,448,"% Other Race Employed Population 16-64 Years; Margin of Error",,oth1664mep
,449,449,% Other Race Unemployed Population 16-64 Years,,oth64ue_p
,450,450,"% Other Race Unemployed Population 16-64 Years; Margin of Error",,oth64uemep
,451,451,% Other Race Armed Forces Population 16-64 Years,,oth64af_p
,452,452,"% Other Race Armed Forces Population 16-64 Years; Margin of Error",,oth64afmep
,453,453,% Other Race Population 16-64 Years Not in the Labor Force,,oth64nlf_p
,454,454,"% Other Race Population 16-64 Years Not in the Labor Force; Margin of Error",,oth64nlfmp
,455,455,% Other Race Population 65+ Years,,oth65_p
,456,456,"% Other Race Population 65+ Years; Margin of Error",,oth65mep
,457,457,% Other Race 65+ Years in Labor Force,,oth65lf_p
,458,458,"% Other Race 65+ Years in Labor Force; Margin of Error",,oth65lfmep
,459,459,% Other Race Employed Population 65+ Years,,oth65e_p
,460,460,"% Other Race Employed Population 65+ Years; Margin of Error",,oth65e_mep
,461,461,% Other Race Unemployed Population 65+ Years,,oth65ue_p
,462,462,"% Other Race Unemployed Population 65+ Years; Margin of Error",,oth65uemep
,463,463,% Other Race Population 65+ Years Not in the Labor Force,,oth65nlf_p
,464,464,"% Other Race Population 65+ Years Not in the Labor Force; Margin of Error",,oth65nlfmp
,465,465,Multi-Race population 16 years and over,,mlt16
,466,466,"Multi-Race population 16 years and over; Margin of Error",,mlt16_me
,467,467,Multi-Race Labor Force,,mltlf
,468,468,"Multi-Race Labor Force; Margin of Error",,mltlfme
,469,469,Multi-Race Civilian Labor Force,,mltclf
,470,470,"Multi-Race Civilian Labor Force; Margin of Error",,mltclfme
,471,471,Multi-Race Employed Population,,mltemp
,472,472,"Multi-Race Employed Population; Margin of Error",,mltempme
,473,473,Multi-Race Unemployed Population,,mltue
,474,474,"Multi-Race Unemployed Population; Margin of Error",,mltueme
,475,475,Multi-Race Armed Forces Population,,mltaf
,476,476,"Multi-Race Armed Forces Population; Margin of Error",,mltafme
,477,477,Multi-Race Population Not in the Labor Force,,mltnlf
,478,478,"Multi-Race Population Not in the Labor Force; Margin of Error",,mltnlfme
,479,479,Multi-Race Population 16-64 Years,,mlt1664
,480,480,"Multi-Race Population 16-64 Years; Margin of Error",,mlt1664me
,481,481,Multi-Race 16-64 Years in Labor Force,,mlt64lf
,482,482,"Multi-Race 16-64 Years in Labor Force; Margin of Error",,mlt64lfme
,483,483,Multi-Race 16-64 Years Civilian Labor Force,,mlt64clf
,484,484,"Multi-Race 16-64 Years Civilian Labor Force; Margin of Error",,mlt64clfm
,485,485,Multi-Race Employed Population 16-64 Years,,mlt64e
,486,486,"Multi-Race Employed Population 16-64 Years; Margin of Error",,mlt64e_me
,487,487,Multi-Race Unemployed Population 16-64 Years,,mlt64ue
,488,488,"Multi-Race Unemployed Population 16-64 Years; Margin of Error",,mlt64ueme
,489,489,Multi-Race Armed Forces Population 16-64 Years,,mlt64af
,490,490,"Multi-Race Armed Forces Population 16-64 Years; Margin of Error",,mlt64afme
,491,491,Multi-Race Population 16-64 Years Not in the Labor Force,,mlt64nlf
,492,492,"Multi-Race Population 16-64 Years Not in the Labor Force; Margin of Error",,mlt64nlfm
,493,493,Multi-Race Population 65+ Years,,mlt65o
,494,494,"Multi-Race Population 65+ Years; Margin of Error",,mlt65ome
,495,495,Multi-Race 65+ Years in Labor Force,,mlt65lf
,496,496,"Multi-Race 65+ Years in Labor Force; Margin of Error",,mlt65lfme
,497,497,Multi-Race Employed Population 65+ Years,,mlt65e
,498,498,"Multi-Race Employed Population 65+ Years; Margin of Error",,mlt65e_me
,499,499,Multi-Race Unemployed Population 65+ Years,,mlt65ue
,500,500,"Multi-Race Unemployed Population 65+ Years; Margin of Error",,mlt65ue_me
,501,501,Multi-Race Population 65+ Years Not in the Labor Force,,mlt65nlf
,502,502,"Multi-Race Population 65+ Years Not in the Labor Force; Margin of Error",,mlt65nlfm
,503,503,% Multi-Race Labor Force,,mltlf_p
,504,504,"% Multi-Race Labor Force; Margin of Error",,mltlfmep
,505,505,% Multi-Race Civilian Labor Force,,mltclf_p
,506,506,"% Multi-Race Civilian Labor Force; Margin of Error",,mltclfmep
,507,507,% Multi-Race Employed Population,,mltemp_p
,508,508,"% Multi-Race Employed Population; Margin of Error",,mltempmep
,509,509,% Multi-Race Unemployed Population,,mltue_p
,510,510,"% Multi-Race Unemployed Population; Margin of Error",,mltuemep
,511,511,% Multi-Race Armed Forces Population,,mltaf_p
,512,512,"% Multi-Race Armed Forces Population; Margin of Error",,mltafmep
,513,513,% Multi-Race Population Not in the Labor Force,,mltnlf_p
,514,514,"% Multi-Race Population Not in the Labor Force; Margin of Error",,mltnlfmep
,515,515,% Multi-Race Population 16-64 Years,,mlt64_p
,516,516,"% Multi-Race Population 16-64 Years; Margin of Error",,mlt64mep
,517,517,% Multi-Race 16-64 Years in Labor Force,,mlt64lf_p
,518,518,"% Multi-Race 16-64 Years in Labor Force; Margin of Error",,mlt64lfmep
,519,519,% Multi-Race 16-64 Years Civilian Labor Force,,mlt64clf_p
,520,520,"% Multi-Race 16-64 Years Civilian Labor Force; Margin of Error",,mlt64clfmp
,521,521,% Multi-Race Employed Population 16-64 Years,,mlt1664_p
,522,522,"% Multi-Race Employed Population 16-64 Years; Margin of Error",,mlt1664mep
,523,523,% Multi-Race Unemployed Population 16-64 Years,,mlt64ue_p
,524,524,"% Multi-Race Unemployed Population 16-64 Years; Margin of Error",,mlt64uemep
,525,525,% Multi-Race Armed Forces Population 16-64 Years,,mlt64af_p
,526,526,"% Multi-Race Armed Forces Population 16-64 Years; Margin of Error",,mlt64afmep
,527,527,% Multi-Race Population 16-64 Years Not in the Labor Force,,mlt64nlf_p
,528,528,"% Multi-Race Population 16-64 Years Not in the Labor Force; Margin of Error",,mlt64nlfmp
,529,529,% Multi-Race Population 65+ Years,,mlt65_p
,530,530,"% Multi-Race Population 65+ Years; Margin of Error",,mlt65mep
,531,531,% Multi-Race 65+ Years in Labor Force,,mlt65lf_p
,532,532,"% Multi-Race 65+ Years in Labor Force; Margin of Error",,mlt65lfmep
,533,533,% Multi-Race Employed Population 65+ Years,,mlt65e_p
,534,534,"% Multi-Race Employed Population 65+ Years; Margin of Error",,mlt65e_mep
,535,535,% Multi-Race Unemployed Population 65+ Years,,mlt65ue_p
,536,536,"% Multi-Race Unemployed Population 65+ Years; Margin of Error",,mlt65uemep
,537,537,% Multi-Race Population 65+ Years Not in the Labor Force,,mlt65nlf_p
,538,538,"% Multi-Race Population 65+ Years Not in the Labor Force; Margin of Error",,mlt65nlfmp
,539,539,White Non-Hispanic population 16 years and over,,nhw16
,540,540,"White Non-Hispanic population 16 years and over; Margin of Error",,nhw16_me
,541,541,White Non-Hispanic Labor Force,,nhwlf
,542,542,"White Non-Hispanic Labor Force; Margin of Error",,nhwlfme
,543,543,White Non-Hispanic Civilian Labor Force,,nhwclf
,544,544,"White Non-Hispanic Civilian Labor Force; Margin of Error",,nhwclfme
,545,545,White Non-Hispanic Employed Population,,nhwemp
,546,546,"White Non-Hispanic Employed Population; Margin of Error",,nhwempme
,547,547,White Non-Hispanic Unemployed Population,,nhwue
,548,548,"White Non-Hispanic Unemployed Population; Margin of Error",,nhwueme
,549,549,White Non-Hispanic Armed Forces Population,,nhwaf
,550,550,"White Non-Hispanic Armed Forces Population; Margin of Error",,nhwafme
,551,551,White Non-Hispanic Population Not in the Labor Force,,nhwnlf
,552,552,"White Non-Hispanic Population Not in the Labor Force; Margin of Error",,nhwnlfme
,553,553,White Non-Hispanic Population 16-64 Years,,nhw1664
,554,554,"White Non-Hispanic Population 16-64 Years; Margin of Error",,nhw1664me
,555,555,White Non-Hispanic 16-64 Years in Labor Force,,nhw64lf
,556,556,"White Non-Hispanic 16-64 Years in Labor Force; Margin of Error",,nhw64lfme
,557,557,White Non-Hispanic 16-64 Years Civilian Labor Force,,nhw64clf
,558,558,"White Non-Hispanic 16-64 Years Civilian Labor Force; Margin of Error",,nhw64clfm
,559,559,White Non-Hispanic Employed Population 16-64 Years,,nhw64e
,560,560,"White Non-Hispanic Employed Population 16-64 Years; Margin of Error",,nhw64e_me
,561,561,White Non-Hispanic Unemployed Population 16-64 Years,,nhw64ue
,562,562,"White Non-Hispanic Unemployed Population 16-64 Years; Margin of Error",,nhw64ueme
,563,563,White Non-Hispanic Armed Forces Population 16-64 Years,,nhw64af
,564,564,"White Non-Hispanic Armed Forces Population 16-64 Years; Margin of Error",,nhw64afme
,565,565,White Non-Hispanic Population 16-64 Years Not in the Labor Force,,nhw64nlf
,566,566,"White Non-Hispanic Population 16-64 Years Not in the Labor Force; Margin of Error",,nhw64nlfm
,567,567,White Non-Hispanic Population 65+ Years,,nhw65o
,568,568,"White Non-Hispanic Population 65+ Years; Margin of Error",,nhw65ome
,569,569,White Non-Hispanic 65+ Years in Labor Force,,nhw65lf
,570,570,"White Non-Hispanic 65+ Years in Labor Force; Margin of Error",,nhw65lfme
,571,571,White Non-Hispanic Employed Population 65+ Years,,nhw65e
,572,572,"White Non-Hispanic Employed Population 65+ Years; Margin of Error",,nhw65e_me
,573,573,White Non-Hispanic Unemployed Population 65+ Years,,nhw65ue
,574,574,"White Non-Hispanic Unemployed Population 65+ Years; Margin of Error",,nhw65ue_me
,575,575,White Non-Hispanic Population 65+ Years Not in the Labor Force,,nhw65nlf
,576,576,"White Non-Hispanic Population 65+ Years Not in the Labor Force; Margin of Error",,nhw65nlfm
,577,577,% White Non-Hispanic Labor Force,,nhwlf_p
,578,578,"% White Non-Hispanic Labor Force; Margin of Error",,nhwlfmep
,579,579,% White Non-Hispanic Civilian Labor Force,,nhwclf_p
,580,580,"% White Non-Hispanic Civilian Labor Force; Margin of Error",,nhwclfmep
,581,581,% White Non-Hispanic Employed Population,,nhwemp_p
,582,582,"% White Non-Hispanic Employed Population; Margin of Error",,nhwempmep
,583,583,% White Non-Hispanic Unemployed Population,,nhwue_p
,584,584,"% White Non-Hispanic Unemployed Population; Margin of Error",,nhwuemep
,585,585,% White Non-Hispanic Armed Forces Population,,nhwaf_p
,586,586,"% White Non-Hispanic Armed Forces Population; Margin of Error",,nhwafmep
,587,587,% White Non-Hispanic Population Not in the Labor Force,,nhwnlf_p
,588,588,"% White Non-Hispanic Population Not in the Labor Force; Margin of Error",,nhwnlfmep
,589,589,% White Non-Hispanic Population 16-64 Years,,nhw64_p
,590,590,"% White Non-Hispanic Population 16-64 Years; Margin of Error",,nhw64mep
,591,591,% White Non-Hispanic 16-64 Years in Labor Force,,nhw64lf_p
,592,592,"% White Non-Hispanic 16-64 Years in Labor Force; Margin of Error",,nhw64lfmep
,593,593,% White Non-Hispanic 16-64 Years Civilian Labor Force,,nhw64clf_p
,594,594,"% White Non-Hispanic 16-64 Years Civilian Labor Force; Margin of Error",,nhw64clfmp
,595,595,% White Non-Hispanic Employed Population 16-64 Years,,nhw1664_p
,596,596,"% White Non-Hispanic Employed Population 16-64 Years; Margin of Error",,nhw1664mep
,597,597,% White Non-Hispanic Unemployed Population 16-64 Years,,nhw64ue_p
,598,598,"% White Non-Hispanic Unemployed Population 16-64 Years; Margin of Error",,nhw64uemep
,599,599,% White Non-Hispanic Armed Forces Population 16-64 Years,,nhw64af_p
,600,600,"% White Non-Hispanic Armed Forces Population 16-64 Years; Margin of Error",,nhw64afmep
,601,601,% White Non-Hispanic Population 16-64 Years Not in the Labor Force,,nhw64nlf_p
,602,602,"% White Non-Hispanic Population 16-64 Years Not in the Labor Force; Margin of Error",,nhw64nlfmp
,603,603,% White Non-Hispanic Population 65+ Years,,nhw65_p
,604,604,"% White Non-Hispanic Population 65+ Years; Margin of Error",,nhw65mep
,605,605,% White Non-Hispanic 65+ Years in Labor Force,,nhw65lf_p
,606,606,"% White Non-Hispanic 65+ Years in Labor Force; Margin of Error",,nhw65lfmep
,607,607,% White Non-Hispanic Employed Population 65+ Years,,nhw65e_p
,608,608,"% White Non-Hispanic Employed Population 65+ Years; Margin of Error",,nhw65e_mep
,609,609,% White Non-Hispanic Unemployed Population 65+ Years,,nhw65ue_p
,610,610,"% White Non-Hispanic Unemployed Population 65+ Years; Margin of Error",,nhw65uemep
,611,611,% White Non-Hispanic Population 65+ Years Not in the Labor Force,,nhw65nlf_p
,612,612,"% White Non-Hispanic Population 65+ Years Not in the Labor Force; Margin of Error",,nhw65nlfmp
,613,613,Hispanic population 16 years and over,,lat16
,614,614,"Hispanic population 16 years and over; Margin of Error",,lat16_me
,615,615,Hispanic Labor Force,,latlf
,616,616,"Hispanic Labor Force; Margin of Error",,latlfme
,617,617,Hispanic Civilian Labor Force,,latclf
,618,618,"Hispanic Civilian Labor Force; Margin of Error",,latclfme
,619,619,Hispanic Employed Population,,latemp
,620,620,"Hispanic Employed Population; Margin of Error",,latempme
,621,621,Hispanic Unemployed Population,,latue
,622,622,"Hispanic Unemployed Population; Margin of Error",,latueme
,623,623,Hispanic Armed Forces Population,,lataf
,624,624,"Hispanic Armed Forces Population; Margin of Error",,latafme
,625,625,Hispanic Population Not in the Labor Force,,latnlf
,626,626,"Hispanic Population Not in the Labor Force; Margin of Error",,latnlfme
,627,627,Hispanic Population 16-64 Years,,lat1664
,628,628,"Hispanic Population 16-64 Years; Margin of Error",,lat1664me
,629,629,Hispanic 16-64 Years in Labor Force,,lat64lf
,630,630,"Hispanic 16-64 Years in Labor Force; Margin of Error",,lat64lfme
,631,631,Hispanic 16-64 Years Civilian Labor Force,,lat64clf
,632,632,"Hispanic 16-64 Years Civilian Labor Force; Margin of Error",,lat64clfm
,633,633,Hispanic Employed Population 16-64 Years,,lat64e
,634,634,"Hispanic Employed Population 16-64 Years; Margin of Error",,lat64e_me
,635,635,Hispanic Unemployed Population 16-64 Years,,lat64ue
,636,636,"Hispanic Unemployed Population 16-64 Years; Margin of Error",,lat64ueme
,637,637,Hispanic Armed Forces Population 16-64 Years,,lat64af
,638,638,"Hispanic Armed Forces Population 16-64 Years; Margin of Error",,lat64afme
,639,639,Hispanic Population 16-64 Years Not in the Labor Force,,lat64nlf
,640,640,"Hispanic Population 16-64 Years Not in the Labor Force; Margin of Error",,lat64nlfm
,641,641,Hispanic Population 65+ Years,,lat65o
,642,642,"Hispanic Population 65+ Years; Margin of Error",,lat65ome
,643,643,Hispanic 65+ Years in Labor Force,,lat65lf
,644,644,"Hispanic 65+ Years in Labor Force; Margin of Error",,lat65lfme
,645,645,Hispanic Employed Population 65+ Years,,lat65e
,646,646,"Hispanic Employed Population 65+ Years; Margin of Error",,lat65e_me
,647,647,Hispanic Unemployed Population 65+ Years,,lat65ue
,648,648,"Hispanic Unemployed Population 65+ Years; Margin of Error",,lat65ue_me
,649,649,Hispanic Population 65+ Years Not in the Labor Force,,lat65nlf
,650,650,"Hispanic Population 65+ Years Not in the Labor Force; Margin of Error",,lat65nlfm
,651,651,% Hispanic Labor Force,,latlf_p
,652,652,"% Hispanic Labor Force; Margin of Error",,latlfmep
,653,653,% Hispanic Civilian Labor Force,,latclf_p
,654,654,"% Hispanic Civilian Labor Force; Margin of Error",,latclfmep
,655,655,% Hispanic Employed Population,,latemp_p
,656,656,"% Hispanic Employed Population; Margin of Error",,latempmep
,657,657,% Hispanic Unemployed Population,,latue_p
,658,658,"% Hispanic Unemployed Population; Margin of Error",,latuemep
,659,659,% Hispanic Armed Forces Population,,lataf_p
,660,660,"% Hispanic Armed Forces Population; Margin of Error",,latafmep
,661,661,% Hispanic Population Not in the Labor Force,,latnlf_p
,662,662,"% Hispanic Population Not in the Labor Force; Margin of Error",,latnlfmep
,663,663,% Hispanic Population 16-64 Years,,lat64_p
,664,664,"% Hispanic Population 16-64 Years; Margin of Error",,lat64mep
,665,665,% Hispanic 16-64 Years in Labor Force,,lat64lf_p
,666,666,"% Hispanic 16-64 Years in Labor Force; Margin of Error",,lat64lfmep
,667,667,% Hispanic 16-64 Years Civilian Labor Force,,lat64clf_p
,668,668,"% Hispanic 16-64 Years Civilian Labor Force; Margin of Error",,lat64clfmp
,669,669,% Hispanic Employed Population 16-64 Years,,lat1664_p
,670,670,"% Hispanic Employed Population 16-64 Years; Margin of Error",,lat1664mep
,671,671,% Hispanic Unemployed Population 16-64 Years,,lat64ue_p
,672,672,"% Hispanic Unemployed Population 16-64 Years; Margin of Error",,lat64uemep
,673,673,% Hispanic Armed Forces Population 16-64 Years,,lat64af_p
,674,674,"% Hispanic Armed Forces Population 16-64 Years; Margin of Error",,lat64afmep
,675,675,% Hispanic Population 16-64 Years Not in the Labor Force,,lat64nlf_p
,676,676,"% Hispanic Population 16-64 Years Not in the Labor Force; Margin of Error",,lat64nlfmp
,677,677,% Hispanic Population 65+ Years,,lat65_p
,678,678,"% Hispanic Population 65+ Years; Margin of Error",,lat65mep
,679,679,% Hispanic 65+ Years in Labor Force,,lat65lf_p
,680,680,"% Hispanic 65+ Years in Labor Force; Margin of Error",,lat65lfmep
,681,681,% Hispanic Employed Population 65+ Years,,lat65e_p
,682,682,"% Hispanic Employed Population 65+ Years; Margin of Error",,lat65e_mep
,683,683,% Hispanic Unemployed Population 65+ Years,,lat65ue_p
,684,684,"% Hispanic Unemployed Population 65+ Years; Margin of Error",,lat65uemep
,685,685,% Hispanic Population 65+ Years Not in the Labor Force,,lat65nlf_p
,686,686,"% Hispanic Population 65+ Years Not in the Labor Force; Margin of Error",,lat65nlfmp
,687,687,Labor Force Gap between % Black and % Non-Hispanic White,16-64 Years in Labor Force: % White alone not Hispanic/Latino - % Black or African American alone,aalfgap
,688,688,"Labor Force Gap between % Black and % Non-Hispanic White; Margin of Error","16-64 Years in Labor Force: % White alone not Hispanic/Latino; % Black or African American alone",aalfgapm
,689,689,Labor Force Gap between % Asian and % Non-Hispanic White,16-64 Years in Labor Force: % White alone not Hispanic/Latino - % Asian alone,aslfgap
,690,690,"Labor Force Gap between % Asian and % Non-Hispanic White; Margin of Error","16-64 Years in Labor Force: % White alone not Hispanic/Latino; % Asian alone",aslfgapm
,691,691,Labor Force Gap between % Pacific Islander and % Non-Hispanic White,16-64 Years in Labor Force: % White alone not Hispanic/Latino - % Native Hawaiian and Other Pacific Islander alone,pilfgap
,692,692,"Labor Force Gap between % Pacific Islander and % Non-Hispanic White; Margin of Error","16-64 Years in Labor Force: % White alone not Hispanic/Latino; % Native Hawaiian and Other Pacific Islander alone",pilfgapm
,693,693,Labor Force Gap between % Asian + Pacific Islander and % Non-Hispanic White,16-64 Years in Labor Force: % White alone not Hispanic/Latino - (% Asian Alone + % Native Hawaiian and Other Pacific Islander alone),apilfgap
,694,694,"Labor Force Gap between % Asian + Pacific Islander and % Non-Hispanic White; Margin of Error","16-64 Years in Labor Force: % White alone not Hispanic/Latino; % Asian Alone ; % Native Hawaiian and Other Pacific Islander alone)",apilfgapm
,695,695,Labor Force Gap between % Other Single Race and % Non-Hispanic White,16-64 Years in Labor Force: % White alone not Hispanic/Latino - % Other Single Race alone,othlfgap
,696,696,"Labor Force Gap between % Other Single Race and % Non-Hispanic White; Margin of Error","16-64 Years in Labor Force: % White alone not Hispanic/Latino; % Other Single Race alone",othlfgapm
,697,697,Labor Force Gap between % Other (American Indian + Other Single Race + Multi Race) and % Non-Hispanic White,16-64 Years in Labor Force: % White alone not Hispanic/Latino - (% American Indian and Alaska Native alone + % Some other race alone + % Two or more races),ogplfgap
,698,698,"Labor Force Gap between % Other (American Indian + Other Single Race + Multi Race) and % Non-Hispanic White; Margin of Error","16-64 Years in Labor Force: % White alone not Hispanic/Latino; % American Indian and Alaska Native alone; % Some other race alone ; % Two or more races)",ogplfgapm
,699,699,Labor Force Gap between % Hispanic/Latino and % Non-Hispanic White,16-64 Years in Labor Force: % White alone not Hispanic/Latino - % Hispanic/Latino,latlfgap
,700,700,"Labor Force Gap between % Hispanic/Latino and % Non-Hispanic White; Margin of Error","16-64 Years in Labor Force: % White alone not Hispanic/Latino; % Hispanic/Latino",latlfgapm
